"Region","Category","Year","Value"
"Shanghai","medicalbed",2017,13.46
"Shanghai","medicalbed",2016,12.92
"Jiangsu","medicalbed",2024,60.41
"Jiangsu","medicalbed",2023,57.88
"Jiangsu","medicalbed",2022,56.3
"Jiangsu","medicalbed",2021,54.86
"Jiangsu","medicalbed",2020,53.5
"Jiangsu","medicalbed",2019,51.6
"Jiangsu","medicalbed",2018,49.15
"Jiangsu","medicalbed",2017,46.92
"Jiangsu","medicalbed",2016,44.31
"Zhejiang","medicalbed",2024,41.32
"Zhejiang","medicalbed",2023,40.61
"Zhejiang","medicalbed",2022,38.17
"Zhejiang","medicalbed",2021,36.99
"Zhejiang","medicalbed",2020,36.13
"Zhejiang","medicalbed",2019,35.02
"Zhejiang","medicalbed",2018,33.21
"Zhejiang","medicalbed",2017,31.35
"Zhejiang","medicalbed",2016,28.99
"Anhui","medicalbed",2024,44.9
"Anhui","medicalbed",2023,45.35
"Anhui","medicalbed",2022,44.4
"Anhui","medicalbed",2021,41.1
"Anhui","medicalbed",2020,40.78
"Anhui","medicalbed",2019,34.74
"Anhui","medicalbed",2018,32.81
"Anhui","medicalbed",2017,30.57
"Anhui","medicalbed",2016,28.17
"Fujian","medicalbed",2024,24.89
"Fujian","medicalbed",2023,24.21
"Fujian","medicalbed",2022,23.24
"Fujian","medicalbed",2021,22.38
"Fujian","medicalbed",2020,21.68
"Fujian","medicalbed",2019,20.22
"Fujian","medicalbed",2018,19.25
"Fujian","medicalbed",2017,18.24
"Fujian","medicalbed",2016,17.48
"Jiangxi","medicalbed",2024,34.05
"Jiangxi","medicalbed",2023,34.07
"Jiangxi","medicalbed",2022,31.45
"Jiangxi","medicalbed",2021,30.73
"Jiangxi","medicalbed",2020,28.58
"Jiangxi","medicalbed",2019,26.71
"Jiangxi","medicalbed",2018,24.95
"Jiangxi","medicalbed",2017,23.4
"Jiangxi","medicalbed",2016,20.91
"Shandong","medicalbed",2024,76.1
"Shandong","medicalbed",2023,73.86
"Shandong","medicalbed",2022,69.36
"Shandong","medicalbed",2021,67.39
"Shandong","medicalbed",2020,64.69
"Shandong","medicalbed",2019,62.97
"Shandong","medicalbed",2018,60.85
"Shandong","medicalbed",2017,58.48
"Shandong","medicalbed",2016,54.1
"Henan","medicalbed",2024,76.51
"Henan","medicalbed",2023,77.74
"Henan","medicalbed",2022,75.22
"Henan","medicalbed",2021,72.13
"Henan","medicalbed",2020,66.72
"Henan","medicalbed",2019,64.01
"Henan","medicalbed",2018,60.85
"Henan","medicalbed",2017,55.9
"Henan","medicalbed",2016,52.15
"Hubei","medicalbed",2024,47.58
"Hubei","medicalbed",2023,47.61
"Hubei","medicalbed",2022,45.03
"Hubei","medicalbed",2021,43.4
"Hubei","medicalbed",2020,41.14
"Hubei","medicalbed",2019,40.33
"Hubei","medicalbed",2018,39.35
"Hubei","medicalbed",2017,37.62
"Hubei","medicalbed",2016,36.06
"Hunan","medicalbed",2024,52.32
"Hunan","medicalbed",2023,53.39
"Hunan","medicalbed",2022,54.45
"Hunan","medicalbed",2021,53.27
"Hunan","medicalbed",2020,51.99
"Hunan","medicalbed",2019,50.63
"Hunan","medicalbed",2018,48.24
